classify,tweetId,tweetUrl,text_cleaned,text_origin
excitement,1231009463575990000,https://twitter.com/Reader6666/statuses/1231009463575990274,booked car garage early doors stupid face_with_tears_of_joy cheeky run home aswel hope winds die,@alittlespoonH Booked the car in the garage early doors  stupid me 😂  With a cheeky run home aswell  hope the winds die down!
excitement,1231009461558500000,https://twitter.com/prettigurlzpray/statuses/1231009461558501381,awe nah daddy knows call cause never like whores roling_on_the_flor_laughing ima tell lol,@A1Lex_ awe nah my daddy knows not to call me for this cause I never like any of his whores 🤣 and imma tell it all lol
excitement,1231009461197770000,https://twitter.com/MorganKeyz/statuses/1231009461197774850,even in2 around 2016 nobody brits bro us nines building nobody awards face_with_tears_of_joy face_with_tears_of_joy,@Guru_hoe Even when In2 was out around 2016 there was noooobody at the Brits bro  us and Nines in the building but nobody up for awards 😂😂
excitement,1231009461009040000,https://twitter.com/hannahmosho/statuses/1231009461009035266,sounds like good fuckin day lol bless itching ft call face_with_tears_of_joy face_with_tears_of_joy,@Primo_Dulce Sounds like a good FUCKIN day lol bless  and you’re itching for a FT call 😂😂
excitement,1231009460358960000,https://twitter.com/saltyconchy/statuses/1231009460358963203,bless heart looks like drank enough kolaid cult45 go trumptanic even others shred dignity left abandon sinking ship keels face_with_tears_of_joy,@hollyhobbyPhD @AndrewBatesNC @thehill @kenvogel Bless your heart  looks like you've drank enough koolaid in #Cult45 to go down with the #Trumptanic even while others with a shred of dignity left abandon that sinking ship as it keels over 😂 https://t.co/bJvr5wPo8a
excitement,1231009460291850000,https://twitter.com/Viciousvirgo973/statuses/1231009460291850240,nope pretty much like face_with_tears_of_joy sad part woman wrong situation submit nerve guy argue back say `` soft '' ... never win even let yal right,"@EShortcake516 @KimberlyzQueen Nope you all are pretty much like that😂sad part is woman to just be wrong about a situation and submit but then have the nerve when a guy doesn't argue back and say ""He to soft""...We can never win even if we let yall be right."
excitement,1231009459322990000,https://twitter.com/lizreeser49/statuses/1231009459322990592,starbucks ben ordering megan got complicated shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,We’re at Starbucks and Ben is ordering and Megan and I got the most complicated shit 😂😂😂😂
excitement,1231009458555420000,https://twitter.com/PMContrarian/statuses/1231009458555424770,managing projects sometimes calls glass coronavirus wine apparently week requires two bottles roling_on_the_flor_laughing thanks may next day trip,Managing #projects sometimes calls for a glass of #coronavirus wine. Apparently  this week requires two bottles  @runjsmithrun! 🤣 Thanks  @kccellarrat! And @Raistonic  this may be our next day trip!
excitement,1231009458119050000,https://twitter.com/brn439/statuses/1231009458119045120,amateur comes steak tell difference face_with_tears_of_joy,I’m such an amateur when it comes to steak. I can’t tell the difference between any of them 😂
excitement,1231009457896930000,https://twitter.com/_emaaaac_/statuses/1231009457896927233,omg totally joke face_with_tears_of_joy concerned thanks response though,@SHEIN_official Omg this was totally a joke 😂 I’m not concerned! Thanks for the response though!
excitement,1231009457720770000,https://twitter.com/WKTV/statuses/1231009457720766465,one handle excitement 'friends reunion,The one where we can't handle our excitement for the 'Friends' reunion. https://t.co/S9NpVwm7II
excitement,1231009457540350000,https://twitter.com/cathalina1972/statuses/1231009457540345858,wait ... top 5 flushed_face flushed_face left top face_with_tears_of_joy teasing pretty awesome,@wilby90 Wait.... what??  Top 5??? 😳😳 You should have left it at top.  😂   I'm teasing  you're pretty awesome too!!
excitement,1231009455954810000,https://twitter.com/SpearBinnie99/statuses/1231009455954808832,gulf chopper first meet loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face cute chopper so garang face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy mew held gulf hand took chopper nose smell gulf scent loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face literally cutest two enemy met eo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,GULF AND CHOPPER FIRST MEET!!!!!! 😭😭😭😭😭😭 CUTEEEE CHOPPER SOOO GARANG 😂😂😂 MEW HELD GULF'S HAND AND TOOK IT TO CHOPPER'S NOSE FOR HIM TO SMELL GULF SCENT 😭😭😭😭😭 THIS IS LITERALLY THE CUTEST. THIS TWO ENEMY MET EO 😂😂😂 https://t.co/nc2OBjJrTP
excitement,1231009454658920000,https://twitter.com/City_93_20/statuses/1231009454658916353,nah flights pricey days interest rates low face_with_tears_of_joy face_with_tears_of_joy long way go notoriously toxic fanbase either way,@ElectricFoden Nah flights are too pricey these days and interest rates are too low 😂😂 a long way to go to be with a notoriously toxic fanbase either way
excitement,1231009454365130000,https://twitter.com/RU5514N_H4CK3R/statuses/1231009454365130753,looks like going kentucky roling_on_the_flor_laughing,@SocialistBoomer Looks more like he's going to Kentucky. 🤣 https://t.co/5oN6qB9nph
