_id,classify,tweetId,timeTweet,tweetUrl,text_cleaned,text_origin
ObjectId("5e5072c7160e825aac3e2b6a"),fear,1231009641892581376,Sat Feb 22 00:15:44 +0000 2020,https://twitter.com/teddy_moose/statuses/1231009641892581376,fear exist canada exist,@Horacethe1st @CityBureaucrat can't fear what doesn't exist  canada doesn't exist.
ObjectId("5e5072c7160e825aac3e2b6b"),fear,1231009633751441408,Sat Feb 22 00:15:42 +0000 2020,https://twitter.com/MalisaKreutzma1/statuses/1231009633751441408,mn twins ’ first exhibition game vs mn golden gophers ft myers florida could get anyone go “ cold ” friends 64° roling_on_the_flor_laughing face_screaming_in_fear twinspringtraining2020 gophersbasebal twinsftmyers swismisinaplesflorida,I’m at the MN Twins’ first exhibition game vs the MN Golden Gophers in Ft Myers Florida. I couldn’t get anyone to go with me because it is “too cold” for my friends. It’s just 64°  after all! 🤣😱#TwinsSpringTraining2020 #GophersBaseball #TwinsFtMyers #SwissMissInNaplesFlorida https://t.co/poqWAgaYUW
ObjectId("5e5072c7160e825aac3e2b6c"),fear,1231009633244000258,Sat Feb 22 00:15:42 +0000 2020,https://twitter.com/AwaitingDawn_/statuses/1231009633244000258,`` homophobia '' call irrelevant society hyper-awarenes homosexuality caused close same-sex friendships take connotation oposite-sex friendships consequently many avoid close fear `` weird '',@wait4itto "Homophobia " as you call it  is irrelevant. It's society's hyper-awareness of homosexuality that caused close same-sex friendships to take on the same connotation as opposite-sex friendships. Consequently  many will avoid being too close for fear of it being "weird."
ObjectId("5e5072c7160e825aac3e2b6d"),fear,1231009628521205761,Sat Feb 22 00:15:41 +0000 2020,https://twitter.com/lauraarenea/statuses/1231009628521205761,lmfao ... stop talking kid like idiot pls loudly_crying_face anxious_face_with_sweat,same lmfao i’m just... stop talking to my kid like an idiot pls 😭😰 https://t.co/csTOd2YpNv
ObjectId("5e5072c7160e825aac3e2b6e"),fear,1231009623953625089,Sat Feb 22 00:15:40 +0000 2020,https://twitter.com/BethSchreibman/statuses/1231009623953625089,step outside ... breathe create play try something new ... something never tried lean fiercely fear tell take ride life red_heart joy feat blesed…,Step outside of yourself... #breathe #create #play Try something new... something you’ve never tried before. Lean fiercely into your fear  and tell it to take you on the ride of your life❤️ #joy#feat #blessed… https://t.co/J41tAvIRcm
ObjectId("5e5072c7160e825aac3e2b6f"),fear,1231009622296682498,Sat Feb 22 00:15:39 +0000 2020,https://twitter.com/ItsGhenet/statuses/1231009622296682498,optimizing solution colluding effort rusiandtrump could support clear candidate fear warenforthewin democrats2020 elizabethwaren2020,An optimizing solution for the colluding effort between #RussiaAndTrump could be to support @ewarren Its clear she’s the candidate they fear!! #WarrenForTheWin #Democrats2020 #ElizabethWarren2020
ObjectId("5e5072c7160e825aac3e2b70"),fear,1231009620161728512,Sat Feb 22 00:15:39 +0000 2020,https://twitter.com/SchoonerLita/statuses/1231009620161728512,common sense gone parliament house full lobbyists result politicians unable open mouths speak fear donor recrimination,@phbarratt @Qldaah Common sense gone. Parliament house full of Lobbyists. The result  politicians unable to open their mouths and speak for fear of donor recrimination.
ObjectId("5e5072c7160e825aac3e2b71"),fear,1231009618886877184,Sat Feb 22 00:15:38 +0000 2020,https://twitter.com/AngelasPearls/statuses/1231009618886877184,terrified planes heights fear unknown yes damn heartbeat even know coming back,@Thogar I am terrified of planes  heights and the fear of the unknown. But yes in a damn heartbeat. Even if I didn't know I was coming back.
ObjectId("5e5072c7160e825aac3e2b72"),fear,1231009614319063040,Sat Feb 22 00:15:37 +0000 2020,https://twitter.com/donarroww/statuses/1231009614319063040,side co-parenting get see little man every weekend ... tonight order junk food watch office depression got,Down side about Co-Parenting is I don’t get to see my little man every weekend... So tonight it’s order Junk Food and watch The Office for this depression I got!
ObjectId("5e5072c7160e825aac3e2b73"),fear,1231009606069112832,Sat Feb 22 00:15:35 +0000 2020,https://twitter.com/MsEspaderos/statuses/1231009606069112832,wait us lead training one day face_screaming_in_fear espa^2 star-struck heart_with_arow,@Margari97134754 @Martin_Mustangs @ms_corleto @DrTLSha Can’t wait for us to lead a training one day!! 😱Espa^2 🤩💘
