_id,classify,tweetId,timeTweet,tweetUrl,text_cleaned,text_origin
ObjectId("5e5072c7160e825aac3e29a8"),happy,1231009527711109122,Sat Feb 22 00:15:17 +0000 2020,https://twitter.com/Smol_baepsae/statuses/1231009527711109122,army pls happy bb bangtan pls happy army go happy bangtan go happy army ... first bangtan no ... first ofc army happy bangtan y-,Army : pls be happy bb Bangtan : you too pls be happy  Army : you go be happy Bangtan : no  you go be happy Army : no.... you first Bangtan : nooo... you first ofc Army : you have to be happyyy Bangtan : y- https://t.co/BFPHtWhb21
ObjectId("5e5072c7160e825aac3e29a9"),happy,1231009526926544896,Sat Feb 22 00:15:16 +0000 2020,https://twitter.com/kurdlez/statuses/1231009526926544896,happy birthday hope good one dude sparkles dude definitely sucker stuff amp trying emit energy keep great art colors sick fire fire,@TheAllSeeingHat Happy birthday! I hope you have a good one  my dude ✨ DUDE definitely I’m a sucker for their stuff &amp; have been trying to emit that same energy Keep up the great art TOO; your colors are so sick 🔥🔥
ObjectId("5e5072c7160e825aac3e29aa"),happy,1231009526779961346,Sat Feb 22 00:15:16 +0000 2020,https://twitter.com/shaibiggeststan/statuses/1231009526779961346,yeah made happy last year final school stretch worst period life,@Simmons4Three2 yeah it made me so happy last year in the final school stretch during the worst period of my life
ObjectId("5e5072c7160e825aac3e29ab"),happy,1231009525483876352,Sat Feb 22 00:15:16 +0000 2020,https://twitter.com/joaojmendes/statuses/1231009525483876352,working spfx teams notifications extension ... listening metalica grining_face_with_smiling_eyes grining_face_with_smiling_eyes ofice365dev pnp sharepoint microsoft spfx,working on SPFx Teams Notifications Extension and ... listening Metalica 😄😄   https://t.co/5RAEspg9sr  #office365dev #pnp #sharepoint  #microsoft #SPFx
ObjectId("5e5072c7160e825aac3e29ac"),happy,1231009524053573633,Sat Feb 22 00:15:16 +0000 2020,https://twitter.com/KyleBrashaw/statuses/1231009524053573633,d.m.c 5 released exhilarating years hoping next game suddenly appeared screen e3 started crying joy see favorite series since kid back thank dmc back dmc5aniversary best moment btw jackpot,@dev1_official When D.M.C. 5 was released it was exhilarating . After years of hoping for the next game  it suddenly appeared on my screen at E3. I started crying of joy to see my favorite series since i was a kid back again  Thank you! DMC IS BACK! #DMC5Anniversary Best moment btw :D Jackpot! https://t.co/t8ux0sKrl7
ObjectId("5e5072c7160e825aac3e29ad"),happy,1231009522690465793,Sat Feb 22 00:15:15 +0000 2020,https://twitter.com/SaxMachine11/statuses/1231009522690465793,scale 1 10 happy think marketing people came 11 100,@rachhill @MikeLurie On a scale of 1 to 10  how happy do you think his marketing people that came up with that were with themselves? 11? 100?
ObjectId("5e5072c7160e825aac3e29ae"),happy,1231009521985867776,Sat Feb 22 00:15:15 +0000 2020,https://twitter.com/LordByron_1824/statuses/1231009521985867776,remember february 21 2020 04 15pm `` thing beauty joy forever '' john keats,Remember at February 21  2020 at 04:15PM "A thing of beauty is a joy forever"  John Keats https://t.co/5P5RXuYITz https://t.co/ipig4yWPhw
ObjectId("5e5072c7160e825aac3e29af"),happy,1231009518915473408,Sat Feb 22 00:15:15 +0000 2020,https://twitter.com/allanagutz/statuses/1231009518915473408,belated happy birthday zeizieuzieieieueieiriue miss everyday lalo na pagkahyper mo noon pleading_face love love love see tomorrow mwalalops kising_face_with_closed_eyes sparkling_heart heart_with_ribon two_hearts heart_with_arow revolving_hearts sparkling_heart beating_heart growing_heart growing_heart,BELATED HAPPY BIRTHDAY ZEIZIEUZIEIEIEUEIEIRIUE @zeicheese I MISS YOU EVERYDAY LALO NA PAGKAHYPER MO NOON 🥺 I LOVE LOVE LOVE YOU SEE YOU TOMORROW MWALALOPSSSSSS 😚💖💝💕💘💞💖💓💗💗 https://t.co/jCKhegS9qi
ObjectId("5e5072c7160e825aac3e29b0"),happy,1231009517787373569,Sat Feb 22 00:15:14 +0000 2020,https://twitter.com/Silvloe/statuses/1231009517787373569,happy birthday mexico dear best many blessings hugs party_poper confeti_bal party_poper confeti_bal grining_face claping_hands claping_hands claping_hands huging_face,@ADaniels3PO Happy Birthday from Mexico dear @ADaniels3PO !!! All the best to you and many blessings!! Hugs!🎉🎊🎉🎊😀👏👏👏🤗
ObjectId("5e5072c7160e825aac3e29b1"),happy,1231009516277370886,Sat Feb 22 00:15:14 +0000 2020,https://twitter.com/jayxsanders/statuses/1231009516277370886,lando angry tweet look happy used,@RealJamesWoods Why is Lando angry in that tweet?  Look at how happy he used to be https://t.co/Rv8mZ6JNN1
ObjectId("5e5072c7160e825aac3e29b2"),happy,1231009514377400326,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/missmackieuk/statuses/1231009514377400326,thank diane face_blowing_a_kis x,@Readerhal54 @nancybarfield @JulieKusma @jjkctjbm @vernsanders @BStubbles @DellOlioMario @WittyMystic @DebbieGrimshaw2 @AwesomeRex_ @Wrix2 @FaerieRealms @SJTurner_Author @TheWayfarerSoul @d_ast777 @Holly_H_H @ScottFamWriter @NGDAverk @CordonRoma @SinCityMadame @GhostMoon20 Thank you Diane 😘 x
ObjectId("5e5072c7160e825aac3e29b3"),happy,1231009513299496960,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/DeanWWarrior/statuses/1231009513299496960,smiles listened words drink whiskey look back cas cas always happy around glad,@Castiel106 He smiles as he listened to his words as he drink his whiskey then look back to Cas same here Cas I’m always happy when your around I’m just glad your here with me now
ObjectId("5e5072c7160e825aac3e29b4"),happy,1231009513186050048,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/BigSpade/statuses/1231009513186050048,connecting `` submisive-nes '' earlier tweet know like every girl face_blowing_a_kis amazing fuck,@305miami6924 I was just connecting it to the "submissive-ness" in the earlier tweet  I know you're not like every other girl 😘  You’re amazing as fuck
ObjectId("5e5072c7160e825aac3e29b5"),happy,1231009512682872832,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/ChristiAnthony1/statuses/1231009512682872832,love appreciate sacrifice sir happy 80th enjoy blessings revolving_hearts,@repjohnlewis We love you and appreciate your sacrifice  Sir. Happy 80th! Enjoy! Blessings 💞
ObjectId("5e5072c7160e825aac3e29b6"),happy,1231009512502378497,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/lfrannyyy/statuses/1231009512502378497,million happy birthday greetings face_with_roling_eyes wish lifetime smile happiness amp love continue good person everyone face_vomiting red_heart godblesyou cazie hahahahahahaha,A million Happy Birthday greetings to you. 🙄I wish you have a lifetime smile  happiness &amp; love. Continue being a good person to everyone.🤮❤️Godblessyou cazzieeee!!!!HAHAHHAHAHAHAAHA @passportczz https://t.co/GYg2lNLFMS
ObjectId("5e5072c7160e825aac3e29b7"),happy,1231009512196333568,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/thebard1313/statuses/1231009512196333568,joy reid never says anything nice bernie stunned see complimented comments would utterly floored cherry picked good ones easily mockable ones like,@ememess Joy Reid NEVER says anything nice about Bernie. I was stunned to see she complimented his comments and I’d be utterly floored if she cherry picked good ones if there were easily mockable ones out there. Not like her at all.
ObjectId("5e5072c7160e825aac3e29b8"),happy,1231009511483330560,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/lost_girlj/statuses/1231009511483330560,wish eat like day forget go order much full 2 bites ... teen happy leftovers lol,@t_88_44 I wish! I eat like once a day because I forget and then when I go out I order too much and am full 2 bites in...my teen is happy for leftovers lol
ObjectId("5e5072c7160e825aac3e29b9"),happy,1231009511424524288,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/Chrissyann12345/statuses/1231009511424524288,best friend even following lol great weekend see monday swimming love red_heart grining_face_with_big_eyes red_heart,@Dazlin0204 My best friend you are not even following me lol Have a Great Weekend See you Monday for swimming Love You ❤️😃❤️
ObjectId("5e5072c7160e825aac3e29ba"),happy,1231009511365890048,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/googiefilms/statuses/1231009511365890048,nd remembers happy yunho looked one song would always dance together song mingi found comfort could find comfort yunho,@strawbbun !! THIS !  nd he remembers how happy yunho looked with him:(( how they had that one song they would always dance to together and it was the song mingi found comfort in when he couldn’t find that comfort yunho   . . https://t.co/XcLRYXHhm2
ObjectId("5e5072c7160e825aac3e29bb"),happy,1231009511101673478,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/cap_alo/statuses/1231009511101673478,hapy..at least ’ lost bogie..if came back 60 fucking league,@YoungMace22 @BryMontana I’m happy..at least y’all lost boogie..if he came back at only 60% they fucking the league up
ObjectId("5e5072c7160e825aac3e29bc"),happy,1231009510610870272,Sat Feb 22 00:15:13 +0000 2020,https://twitter.com/hopeskarla/statuses/1231009510610870272,okey take care people love want happy lt 3,@lwj_twt it's okey:( take care of yourself and the people you love  we just want you to be happy&lt;3
ObjectId("5e5072c7160e825aac3e29bd"),happy,1231009509033701377,Sat Feb 22 00:15:12 +0000 2020,https://twitter.com/Friendbearx/statuses/1231009509033701377,thanks much shout online today great weekend everyone grining_face folded_hands sun_with_face,@SupportBritish @DEREKFROOD @fatilatuti @FindlayLouis @FromPage2Screen @Kerry_Gooderson @ARGower97 @gemmalsimons @Raeleneofficial @Gemma_Wallace18 @GordonS41993290 @stevengidwaney @RealGaryWebster @GregDraven @gilliann4 @patgarrett777 @ConlanGeorgia @eliistender10 Thanks so much for the shout! Wasn't online today until now  have a great weekend everyone! 😀🙏🌞
ObjectId("5e5072c7160e825aac3e29be"),happy,1231009506487828480,Sat Feb 22 00:15:12 +0000 2020,https://twitter.com/reversethecrown/statuses/1231009506487828480,pretty impressed first go small house tiny living much easier building bigger houses still quite fully good practice grining_face_with_smiling_eyes,Pretty impressed with my first go at a small house with tiny living on @TheSims so much easier than building bigger houses I’m still not quite there fully with them so it’s good practice 😄 @SimGuruFrost @SimGuruNinja   @SimGuruLegacy @SimGuruMorgan @SimGuruJill @SimGuruLyndsay https://t.co/v5nGJpFx36
ObjectId("5e5072c7160e825aac3e29bf"),happy,1231009505632227328,Sat Feb 22 00:15:11 +0000 2020,https://twitter.com/phillip_hoyle/statuses/1231009505632227328,waifu tweeted publix sub sales idk happy sandwiches timeline smiling_face_with_3_hearts anxious_face_with_sweat smiling_face_with_heart-eyes,@PrincessLynnxx My waifu just tweeted about publix sub sales and idk what to be more happy about  the sandwiches or her in my timeline 🥰😰😍
ObjectId("5e5072c7160e825aac3e29c0"),happy,1231009505325961216,Sat Feb 22 00:15:11 +0000 2020,https://twitter.com/ImmaBee247/statuses/1231009505325961216,place made happy bought one cookie mushroom rump baby cookie teampete pete2020,This place made me happy! I bought one @PeteButtigieg cookie and a 🍄rump baby cookie just because! #TeamPete #Pete2020 https://t.co/IpPmVa4ZD0
ObjectId("5e5072c7160e825aac3e29c1"),happy,1231009504252375040,Sat Feb 22 00:15:11 +0000 2020,https://twitter.com/GirlguidingNott/statuses/1231009504252375040,finally happy world thinking day 2020 members supporters whatever however celebrating hope lovely day forget let us know get teamnots wtd2020,It's finally here - Happy World Thinking Day 2020 to all of our members and supporters!  Whatever you are doing and however you are celebrating  we hope you have a lovely day and don't forget to let us know what you all get up to! #teamnotts #wtd2020 https://t.co/wWhwi0egi0
ObjectId("5e5072c7160e825aac3e29c2"),happy,1231009502280876032,Sat Feb 22 00:15:11 +0000 2020,https://twitter.com/kma2718/statuses/1231009502280876032,thanks chris happy weekend everyone,@spacecrafff @AbelFaustine @Nwabunike_ @Ahhdae @JoyousLight @Shwetangles @th_purpl_lady @PurpleDoor73 @DBStoner @dawnerichards @I_am_carbs @_justjazzie_ @wininsley @HOTDOGCASSEROLE @SapientOwl @SPNNlogic @BinkaFudge @Arte_Miss1 @TheScottMillen @AmposCampos @lemarionettey Thanks Chris  and have a happy weekend everyone!
ObjectId("5e5072c7160e825aac3e29c3"),happy,1231009502134231042,Sat Feb 22 00:15:11 +0000 2020,https://twitter.com/lTSJOKOSWORLD/statuses/1231009502134231042,everyone little version `` vibe give '' making happy idk like pleading_face pleading_face yal like addition pleading_face pleading_face thought dumb pleading_face pleading_face pleading_face,everyone is doing my little version of "what vibe do i give off" and its making me so happy idk why just like 🥺🥺 yall like my addition 🥺🥺 i thought it was dumb 🥺🥺🥺
