classify,tweetId,tweetUrl,text_cleaned,text_origin
pleasant,1231009360081560000,https://twitter.com/check_katie/statuses/1231009360081555457,nature wall art workshop open registration designed adult artists ’ skill love art want fun expanding artistic painting abilities join us laid back fun evening sat mar 28 6 0-9 0 pm artist_palete slightly_smiling_face,Nature Wall Art Workshop is open for registration!  This is designed for adult artists’ of ANY skill who love art and want to have fun expanding their artistic painting abilities! join us for a laid back and fun evening on Sat  Mar 28 6:00-9:00 pm. https://t.co/dDZV7b7sOI 🎨🙂 https://t.co/HlVfyLpQ84
pleasant,1231009340087300000,https://twitter.com/LouTwoShoes/statuses/1231009340087296002,day 3 4 sick think plague soon take upside-down_face,Day 3 or 4 of being sick  I think this plague will soon take me. 🙃 https://t.co/tlopIMpNbl
pleasant,1231009329454580000,https://twitter.com/apple_shamp0o/statuses/1231009329454575616,god sure sense humor literally terrified short girls best friends 5 feet tall slightly_smiling_face,God sure does have a sense of humor because I am literally terrified of short girls and all my best friends are all about 5 feet tall 🙂
pleasant,1231009325294010000,https://twitter.com/opshorton1/statuses/1231009325294006272,handful images today little trip dover see brand new cruise liner mr branson scarlet lady virgin voyage slightly_smiling_face forgetting iconic dover castle scarletlady virginvoyages cruiseship dovercastle dover cruiseterminal,A handful of images from today’s little trip to Dover  to see the brand new cruise liner from Mr Branson  the Scarlet Lady  Virgin Voyage 🙂 and not forgetting the iconic Dover Castle! #ScarletLady #virginvoyages #cruiseship #dovercastle #dover #cruiseterminal https://t.co/oyKa2KavkX
pleasant,1231009318910120000,https://twitter.com/aiiyljclc/statuses/1231009318910119936,goes recent toy dolls would rather spend money substantial content like music upside-down_face,@ygofficialblink This goes for the recent toy dolls too. I'd rather spend my money on substantial content like music 🙃
pleasant,1231009315932300000,https://twitter.com/ImFkin_Awesome/statuses/1231009315932295169,long week sick emotionally exhausted glad let drink upside-down_face,This was a long week! I was sick and emotionally exhausted. I’m glad it’s over with. Now let’s drink 🙃
pleasant,1231009258243690000,https://twitter.com/TheTwinPowers/statuses/1231009258243686401,thank paula folded_hands nature though challenges young man obscure somewhat fortunately unclouding years continue may lovely evening thumbs_up slightly_smiling_face,@CrystalGlistens Thank you Paula 🙏 It's my nature though my challenges as a young man did obscure it somewhat. Fortunately I've been unclouding it over the years and continue to do so.   May you have a lovely evening! 👍🙂
pleasant,1231009237591040000,https://twitter.com/sortameta/statuses/1231009237591044098,today awful even happy today friday work literally every day upside-down_face,Today has been awful. I can't even be happy today is Friday because I work literally every day 🙃
pleasant,1231009234772320000,https://twitter.com/daisyalcala12/statuses/1231009234772324352,period makes wan na another baby upside-down_face cramps ni quien los aguante,Being on my period makes me just wanna have another baby 🙃 These cramps   ni quien los aguante
pleasant,1231009229936500000,https://twitter.com/cyndaquilla/statuses/1231009229936496640,excited see though put clothes away love god upside-down_face,I'm excited to see him though.   Just. Put your clothes away for the love of god 🙃
pleasant,1231009220989990000,https://twitter.com/_nbenavides/statuses/1231009220989988864,conoce reminds omf driver playing like upside-down_face face_with_tears_of_joy,no me conoce reminds me of oomf and our driver over here has been playing it like 🙃😂
pleasant,1231009208750920000,https://twitter.com/samikitten/statuses/1231009208750919680,2 first one including new ones need like 9 upside-down_face,@BeanieJedi33 @OriginalFunko @WonderWomanFilm @warnerbros @DCComics @HotTopic @Walmart @BoxLunchGifts @Target @amazon @GalGadot @PattyJenks I have 2 from the first one  not including these new ones I need like 9 🙃
pleasant,1231009163767140000,https://twitter.com/ralf19_ace/statuses/1231009163767140352,send us cc guys want apology accepted slightly_smiling_face,@DB_Legends @DBLegendsENG Send us more cc if you guys want your apology accepted 🙂
pleasant,1231009163129420000,https://twitter.com/tiny_direwolf/statuses/1231009163129417729,lol guess cancelled fence upside-down_face,@rainyjager @aravosis Lol I guess we cancelled each other out. I was on the fence and now I’m in 🙃
pleasant,1231009161238010000,https://twitter.com/KeeyLoLo_/statuses/1231009161238007814,’ acting like perfect christians sure know disrespectful plenty people upside-down_face,Some of y’all out here acting like the perfect Christians sure do know how to be disrespectful to PLENTY of people 🙃
pleasant,1231009159447030000,https://twitter.com/msangiemoon/statuses/1231009159447031816,mcdonalds could made vegan chicken mcnugets milkshakes instead upside-down_face,McDonalds could have made vegan chicken mcnuggets and milkshakes instead. 🙃 https://t.co/LgavMaxhUr
pleasant,1231009157278500000,https://twitter.com/chr1sj89/statuses/1231009157278502912,know patient turn interpreter radiologist paid hospital watching patients issues upside-down_face could sick,@bbcquestiontime How does she know about this patient who didn’t turn up and the interpreter and radiologist were paid ? What was she doing in hospital watching over other patients issues 🙃. Couldn’t have been that sick to have been there herself
