classify,tweetId,tweetUrl,text_cleaned,text_origin
happy,1231009439974670000,https://twitter.com/nimbus_nought/statuses/1231009439974674434,oh duh huge development somehow spaced woman_facepalming yes course loudly_crying_face smiling_face_with_3_hearts pleading_face smiling_face_with_3_hearts loudly_crying_face happy played part crystallising joyous lovely thing loudly_crying_face,@stillicides OH! Duh  that huge development I somehow spaced on there🤦‍♀️ Yes of course!  😭🥰🥺🥰😭  I am so so happy it played a part in crystallising such a joyous lovely thing for you!!! 😭
happy,1231009439228090000,https://twitter.com/1Corinthians126/statuses/1231009439228088323,writing_hand 1 corinthians 3 7 neither planteth thing neither watereth butgod giveth increase blossom blossom blossom blossom blossom blossom blossom blossom blossom blossom blossom blossom bless showers revelation blessings justice amp worth worthy lord thank face_blowing_a_kis holyspiritjesuschrist raising_hands,✍️1 Corinthians 3:7 So then neither is he that planteth any thing  neither he that watereth #BUTGod that #GIVETH the #INCREASE🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼  #BLESS #SHOWERS #REVELATION #BLESSINGS YOUR #JUSTICE &amp;YOUR #WORTH For YOU Are #WORTHY LORD  Thank YOU 😘#HolySpiritJesusChrist🙌
happy,1231009438812730000,https://twitter.com/yukisamuraix/statuses/1231009438812733440,really anything anymore kinda wana fade existence much bare acting happy becoming mentally taxing sad around taxing believe get better learn accept move,Not really anything anymore kinda just wana fade out of existence this is to much to bare  acting happy is becoming mentally taxing and being sad is all around taxing i don't believe it get's better i just learn to accept and move on https://t.co/aDkZHxGVwc
happy,1231009438670080000,https://twitter.com/marcsisism/statuses/1231009438670082054,amazing adorable dyani huging_face also happy grateful able say wanted tell person_gesturing_OK red_heart thank wonderful chance smiling_face_with_smiling_eyes,@Dy4ni_Robles @KevanKenney You were amazing and adorable Dyani! 🤗 I'm also very happy and grateful you were able to say what we've wanted to tell them 🙆❤ @OfficialMonstaX  Thank you too @KevanKenney for this wonderful chance! 😊
happy,1231009436807860000,https://twitter.com/rosiesutton/statuses/1231009436807856134,happy beth strong girl hope speedy recovery sending love two_hearts two_hearts,@Bethvthomas So happy for you Beth! Such a strong girl  hope you have a speedy recovery and sending all my love 💕💕
happy,1231009391933030000,https://twitter.com/iam_toluano/statuses/1231009391933034497,happy birthday papi much love impact lives people like us well felt way positioned greatness still self_batling fun egbon well,Happy birthday to you #Papi much love. The impact you have had and will have in the lives of people like us is well felt and the way you have positioned yourself for greatness is still self_battling. Have fun egbon. You are doing well https://t.co/lUHOSv3nJP
happy,1231009391874390000,https://twitter.com/Skell20XX/statuses/1231009391874387968,hope never watched movie online without paying sung happy birthday last couple years,@Hopper_Atl @SenSanders Hope you never watched a movie online without paying  or sung Happy birthday before the last couple years.
happy,1231009380436500000,https://twitter.com/jungyulr/statuses/1231009380436496385,today supposed happy day feeling sad rn bruh really hate sometimes,today was supposed to be a happy day so why am i feeling so sad rn bruh i really hate myself sometimes
happy,1231009367522270000,https://twitter.com/I_Make_Lemonade/statuses/1231009367522267137,dude board hundred_points could get mani/pedi massage every week afford ... .yet grining_face,@BlkMoneyDotCom Dude - I'm on board 💯 I could get a Mani/pedi and a massage every week. Just can't afford it....yet. 😀
happy,1231009365227800000,https://twitter.com/JensonKathleen/statuses/1231009365227798528,disappointed failure defend neil cavuto lame comments indefensible richard fowler one defend cavuto adequately embarrassment fox news used happy filled martha,@EdHenryNews So disappointed in you for your failure to defend Neil Cavuto.  Your lame comments about him were indefensible.  That Richard Fowler was the only one to defend Cavuto adequately is an embarrassment to Fox News.  I used to be happy when you filled in for Martha.
happy,1231009364799940000,https://twitter.com/ACTSOMOCO/statuses/1231009364799942656,happy nirthday congressman john lewis actsomoco excellence,Happy Nirthday Congressman John Lewis  #actsomoco #Excellence https://t.co/kjjHp08rva
happy,1231009362723820000,https://twitter.com/BbySijon/statuses/1231009362723819520,happy birthday pusa sb19atpepsicebu morhot10 alab sb19,@jahstin22 @mor1019 @SB19Official HAPPY BIRTHDAYY PUUUUSAAA  #SB19atPepsiCebu    #MORHot10 Alab by SB19 @mor1019 @SB19Official
happy,1231009361478280000,https://twitter.com/OiShinyThings/statuses/1231009361478275072,happy weekend jack run oi shiny handmade jewellery touch magic free international shipping included orders,@RReviews_blog Happy weekend! I'm Jack and I run Oi  Shiny! - handmade jewellery with a touch of magic. https://t.co/rCPRf4JcXP  Free international shipping included on all orders. https://t.co/Bu2edIURAy
happy,1231009358474920000,https://twitter.com/cmonjose/statuses/1231009358474924032,mom recently married big family brothers sisters im happy love accept nothing compares feeling,my mom recently married into a big family and now i have brothers and sisters and im just so happy they love me and accept me as their own. nothing compares to this feeling :    )
happy,1231009358001030000,https://twitter.com/parthene0n/statuses/1231009358001033216,hell becoming something see every day affiliates happy someone position working toward kind enough share community built bring fresh eyes channel smh man,@TravisShreffler Why the hell is this becoming something I see every day? Affiliates should be happy that someone  who is in a position they themselves are working toward  is kind enough to share the community THEY built with them and bring fresh eyes to their channel. Smh man
happy,1231009356218590000,https://twitter.com/DarielTL/statuses/1231009356218589184,huge shoutout happy birthday one important staples eh even joined team 2018 honora crucial part many lives endless flow humor work ethic seed many wonderful long-lasting relationships purple_heart,Huge shoutout AND happy birthday to one of the most important staples of EH before she even joined the team in 2018  Honora. You've been a crucial part to so many lives with your endless flow of humor and work ethic. The seed to so many wonderful long-lasting relationships 💜 https://t.co/bmv2gmnRlM
